invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-40238900002,2021-09-20,5886,BEECHER LIQUOR / DUBUQUE,1691 ASBURY RD,DUBUQUE,52001.0,POINT(-90.696886 42.500775),31,DUBUQUE,1700000.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100847,FIREBALL CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-77065100002,2024-11-29,6195,DT LIQUOR LLC / DEWITT,301 11TH STREET,DEWITT,52742.0,POINT(-90.53476 41.82626),,CLINTON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100847,FIREBALL CINNAMON WHISKEY CANDY CANES,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-61769200001,2023-08-30,5062,CASEY'S GENERAL STORE #2318 / MONTRO,"111, MAIN ST",MONTROSE,52639.0,POINT(-91.415862996 40.532228998),,LEE,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-67396700003,2024-02-18,10339,CASEY'S #4294 / CORYDON,200 EAST JEFFERSON STREET,CORYDON,50060.0,POINT(-93.316942003 40.756934998),,WAYNE,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51828300054,2022-10-05,2285,JOHN'S GROCERY,401 EAST MARKET ST,IOWA CITY,52240,POINT(-91.529854 41.663541),,JOHNSON,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-58018000002,2023-05-01,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265.0,POINT(-93.774831041 41.561127981),,POLK,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75904900002,2024-10-30,2700,HY-VEE DOLLAR FRESH - EMMETSBURG,3402 MAIN STREET,EMMETSBURG,50536.0,POINT(-94.69363 43.1111),,PALO ALTO,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-70734100003,2024-05-31,6209,HY-VEE / GRIMES,351 NORTHEAST GATEWAY DRIVE,GRIMES,50111.0,POINT(-93.777219967 41.690352998),,POLK,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-76227900003,2024-11-08,10460,CASEY'S #4391 / WEST BURLINGTON,1105 W AGENCY RD,WEST BURLINGTON,52655.0,POINT(-91.17043 40.81172),,DES MOINES,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-75772700003,2024-10-28,5846,ROCKINGHAM LIQUOR - DAVENPORT,2423 ROCKINGHAM ROAD,DAVENPORT,52802.0,POINT(-90.61345 41.51414),,SCOTT,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-67874400002,2024-03-04,2721,HY-VEE C-STORE #3 / DUBUQUE,300 S LOCUST,DUBUQUE,52003.0,POINT(-90.664055986 42.488579993),,DUBUQUE,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-73852700002,2024-09-04,5994,HAWKEYE SMOKE AND LIQUOR / IOWA CITY,108 E. COLLEGE ST,IOWA CITY,52240.0,POINT(-91.534203231 41.659122404),,JOHNSON,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,77.4,0.05,0.01
INV-55192000011,2023-01-23,4530,CASEY'S GENERAL STORE #2566 / ELY,1495 STATE ST,ELY,52227,POINT(-91.58709 41.87257),,LINN,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-57556600002,2023-04-14,10122,CASEY'S #4317 / VINTON,814 C AVENUE,VINTON,52349.0,POINT(-92.027577978 42.163137012),,BENTON,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72139900003,2024-07-12,10352,CASEY'S #4319 / PERRY,601 SOUMAS AVENUE,PERRY,50220.0,POINT(-94.070665495 41.833555537),,DALLAS,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63297600003,2023-10-16,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804.0,POINT(-90.612322963 41.536627007),,SCOTT,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63084600002,2023-10-09,6229,BEER THIRTY STORM LAKE / STORM LAKE,208 E MILWAUKEE,STORM LAKE,50588.0,POINT(-95.199212498 42.647412695),,BUENA VISTA,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-66128300001,2024-01-10,2521,HY-VEE FOOD AND DRUG (1888) / GRAND / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265.0,POINT(-93.729528027 41.570983004),,POLK,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-65304600003,2023-12-15,2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT(-95.879006999 41.261336012),,POTTAWATTAMIE,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-76620500002,2024-11-19,3942,TWIN TOWN LIQUOR,104 HIGHWAY 30 WEST,TOLEDO,52342.0,POINT(-92.57943 41.98595),,TAMA,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-59665200002,2023-06-22,10029,ROYAL MART / DES MOINES,111 SOUTHWEST 63RD STREET,DES MOINES,50312.0,POINT(-93.702869971 41.5787829930001),,POLK,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72057100002,2024-07-10,6019,CASEY'S GENERAL STORE #3888 / ANKENY,1024 E 1ST ST,ANKENY,50021.0,POINT(-93.581705035 41.732371017),,POLK,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-66996500001,2024-02-07,10161,KIMMES BAXTER COUNTRY STORE #13 / BAXTER,312 EAST BUCHANNAN STREET,BAXTER,50028.0,POINT(-93.145392022 41.820404009),,JASPER,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-50365700210,2022-08-16,10029,ROYAL MART / DES MOINES,111 SOUTHWEST 63RD STREET,DES MOINES,50312,POINT(-93.703373 41.578809),,POLK,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-68863300004,2024-04-03,2595,HY-VEE WINE AND SPIRITS / DENISON,"1620  4TH AVE, SOUTH",DENISON,51442.0,POINT(-95.348519029 42.012696016),,CRAWFORD,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-76972200002,2024-11-26,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.87692 42.07095),,CARROLL,1081300.0,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,100861,99 PARTY BUCKET MINIS,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-31290600004,2020-10-23,4794,SMOKIN' JOE'S #17 TOBACCO AND LIQUOR OUTLET,110 S ROOSEVELT HWY 61,BURLINGTON,52601.0,POINT(-91.141203 40.809437),29,DES MOINES,1081300.0,AMERICAN CORDIALS & LIQUEURS,55,SAZERAC NORTH AMERICA,100862,99 BRAND CANDY CANES,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-31248800010,2020-10-21,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401.0,POINT(-91.659875 41.97574),57,LINN,1081300.0,AMERICAN CORDIALS & LIQUEURS,55,SAZERAC NORTH AMERICA,100862,99 BRAND CANDY CANES,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-40806500002,2021-10-08,5052,CASEY'S GENERAL STORE #3220 / GREENF,"302, SE 6TH ST",GREENFIELD,50849.0,POINT(-94.453264 41.303367),1,ADAIR,1700000.0,TEMPORARY & SPECIALTY PACKAGES,421.0,SAZERAC COMPANY  INC,100862,99 BRAND CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-54021000007,2022-12-15,5986,CASEY'S GENERAL STORE #2366 / OSKALOOSA,1809 9TH AVE E,OSKALOOSA,52577,POINT(-92.62302 41.28717),,MAHASKA,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100862,99 BRAND CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-65850400002,2024-01-02,6229,BEER THIRTY STORM LAKE / STORM LAKE,208 E MILWAUKEE,STORM LAKE,50588.0,POINT(-95.199212498 42.647412695),,BUENA VISTA,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100938,FIREBALL VALENTINE PACK,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-65906600001,2024-01-03,4520,CASEY'S GENERAL STORE #2842 / HUXLEY,902 N HWY 69,HUXLEY,50124.0,POINT(-93.606854013 41.901796983),,STORY,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100938,FIREBALL VALENTINE PACK,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-43768000008,2022-01-13,5913,CASEY'S GENERAL STORE #1427 / CLEAR LAKE,6 PLAZA DR,CLEAR LAKE,50428.0,POINT(-93.360505 43.145936),17,CERRO GORDO,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100938,FIREBALL VALENTINE PACK,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-66949600001,2024-02-06,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,POINT(-91.604094893 41.72215222),,JOHNSON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,100938,FIREBALL VALENTINE PACK,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-47805800016,2022-05-26,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613.0,POINT(-92.435236 42.512789),7,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,101046,FIREBALL CINNAMON WHISKEY PARTY COOLER,6,50,8.6,12.9,1,12.9,0.05,0.01
INV-51099500006,2022-09-10,6313,DANNYS TOBACCO & LIQUOR / GUTTENBERG,531 U.S. 52,GUTTENBERG,52052,,,CLAYTON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75689900002,2024-10-24,4519,CASEY'S GENERAL STORE #2923 / WDM,1850 22ND ST,WEST DES MOINES,50266.0,POINT(-93.73696 41.59947),,POLK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-51873000005,2022-10-06,5808,CASEY'S GENERAL STORE #1373 / BONDURANT,302 2ND ST NE,BONDURANT,50035,POINT(-93.45939 41.70297),,POLK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-51327900013,2022-09-19,5888,BIG 10 MART #62 / BETTENDORF,999 MIDDLE RD,BETTENDORF,52722,POINT(-90.51902 41.539963),,SCOTT,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63370400003,2023-10-17,5745,CASEY'S GENERAL STORE #3292,1906 3RD AVE SE,INDEPENDENCE,50644.0,POINT(-91.890222354 42.451601301),,BUCHANAN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-40662600039,2021-10-04,6018,CASEY'S GENERAL STORE - #2532,1807 EDGINGTON AVE,ELDORA,50627.0,,42,HARDIN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421.0,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-74891200003,2024-10-03,5387,CASEY'S GENERAL STORE # 3054/ WEBSTER CITY,700 SUPERIOR STREET,WEBSTER CITY,50595.0,POINT(-93.81588 42.4691),,HAMILTON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-75274900001,2024-10-14,5832,CASEY'S GENERAL STORE #1605 / HAMPTON,719 4TH ST NE,HAMPTON,50441.0,POINT(-93.20247 42.74891),,FRANKLIN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-52278500001,2022-10-20,4668,CLEAR LAKE PAYLESS FOODS,20 SOUTH 4TH ST,CLEARLAKE,50428,POINT(-93.380368 43.135941),,CERRO GORDO,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63319100001,2023-10-16,5420,CASEY'S GENERAL STORE # 2212/ CEDAR RAPIDS,130 41ST AVE. DR. SW,CEDAR RAPIDS,52404.0,POINT(-91.656274838 41.938214005),,LINN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-62082900001,2023-09-09,5698,CASEY'S #3746 / GRIMES,1650 NE BEAVER BROOKE BLVD,GRIMES,50111.0,POINT(-93.776908998 41.698634988),,POLK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-50856800016,2022-08-31,5985,CASEY'S GENERAL STORE #2350 / OSKALOOSA,1902 S MARKET ST,OSKALOOSA,52577,POINT(-92.64507 41.278496),,MAHASKA,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-62649100001,2023-09-26,5535,CASEY'S GENERAL STORE #2097 / INDIANOLA,1006 W 2ND AVE,INDIANOLA,50125.0,POINT(-93.574969002 41.358208014),,WARREN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421,SAZERAC COMPANY  INC,101151,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-61372600002,2023-08-18,5569,CASEY'S GENERAL STORE #2765 / CEDAR RAPIDS,5050 NORTHLAND AVE NE,CEDAR RAPIDS,52402.0,POINT(-91.632392868 42.028481612),,LINN,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75982600001,2024-11-01,5145,SOUTH SIDE FOOD MART,1101 ARMY POST RD. SUITE A & B,DES MOINES,50315.0,POINT(-93.62851 41.52671),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-69677200003,2024-04-29,5094,CASEY'S GENERAL STORE #2778 / CEDAR,"201, 8TH AVE SE",CEDAR RAPIDS,52401.0,POINT(-91.662052233 41.972681774),,LINN,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-67464300001,2024-02-20,10241,"FAREWAY STORES, INC. #237 / LE CLAIRE",1301 EAGLE RIDGE ROAD,LE CLAIRE,52753.0,POINT(-90.359991971 41.588211),,SCOTT,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-73157000002,2024-08-13,5624,CASEY'S GENERAL STORE #1065 / ASBURY,5505 ASBURY RD,DUBUQUE,52002.0,POINT(-90.75838299 42.510300983),,DUBUQUE,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-61621200001,2023-08-25,5381,CASEY'S GENERAL STORE # 3546/ MONONA,901 S MAIN ST.,MONONA,52159.0,POINT(-91.389711597 43.044630002),,CLAYTON,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-59768800002,2023-06-27,5203,KIMMES COON RAPIDS COUNTRY STORE #12,"516, HIGHWAY 141",COON RAPIDS,50058.0,POINT(-94.678486034 41.865547012),,CARROLL,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75719200002,2024-10-25,5575,CASEY'S GENERAL STORE #2919 / MARION,340 MARION BLVD,MARION,52302.0,POINT(-91.61354 42.03005),,LINN,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-73735300001,2024-08-29,5499,KUM & GO #184 / ALTOONA,1430 1ST AVE NORTH,ALTOONA,50009.0,POINT(-93.465138997 41.663673987),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-75818800003,2024-10-29,5114,CASEY'S GENERAL STORE #2612 / MISSOU,"106, E  ERIE ST",MISSOURI VALLEY,51555.0,POINT(-95.89439 41.55603),,HARRISON,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-67748100002,2024-02-28,5273,CASEY'S GENERAL STORE # 2598/ PELLA,414 S CLARK STREET,PELLA,50219.0,POINT(-92.911691988 41.391806999),,MARION,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-76828300002,2024-11-22,5544,CASEY'S GENERAL STORE #2834 / LENOX,501 N BROOKS ST,LENOX,50851.0,POINT(-94.56527 40.88492),,TAYLOR,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-70711500001,2024-05-31,6057,KUM & GO #0731 / DES MOINES,3104 UNIVERSITY AVE,DES MOINES,50311.0,POINT(-93.659868964 41.599997003),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-65665100002,2023-12-27,6219,CASEY'S #4025 / MUSCATINE,4701 HWY 61,MUSCATINE,52761.0,POINT(-91.126717008 41.373962011),,MUSCATINE,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-74928000002,2024-10-04,5558,CASEY'S GENERAL STORE #1280 / FORT DODGE,1133 S 22ND ST,FORT DODGE,50501.0,POINT(-94.16786 42.4919),,WEBSTER,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-76715800001,2024-11-20,6168,BREW OIL #32 / SPENCER,15 GRAND AVE,SPENCER,51301.0,POINT(-95.14447 43.13846),,CLAY,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,78.6,0.05,0.01
INV-65307400003,2023-12-15,4514,CASEY'S GENERAL STORE #2813 / FORT DODGE,1230 3RD AVE NW,FORT DODGE,50501.0,POINT(-94.218542005 42.515852988),,WEBSTER,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-68207200003,2024-03-13,4767,CASEY'S GENERAL STORE #3075 / ANKENY,6981 NE 14TH ST,ANKENY,50023.0,POINT(-93.600024019 41.687935992),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-68013200001,2024-03-07,4459,KUM & GO #544 / EAGLE GROVE,1120 S COMMERCIAL,EAGLE GROVE,50533.0,POINT(-93.904013016 42.653956997),,WRIGHT,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-74138400002,2024-09-11,5099,CASEY'S GENERAL STORE #2164 / ANKENY,3505 N  ANKENY BLVD,ANKENY,50023.0,POINT(-93.59987 41.76057),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,52.4,78.6,1,77.4,0.05,0.01
INV-58828900003,2023-05-26,4140,FAREWAY STORES #900 / EUCLID,100 EUCLID AVE,DES MOINES,50313.0,POINT(-93.6190490119999 41.627499997),,POLK,1081400,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72313800002,2024-07-18,4519,CASEY'S GENERAL STORE #2923 / WDM,1850 22ND ST,WEST DES MOINES,50266.0,POINT(-93.736950035 41.599686999),,POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-62236500001,2023-09-13,10195,STAR / DENISON,810 4TH AVENUE SOUTH,DENISON,51442.0,POINT(-95.36298896 42.012782014),,CRAWFORD,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63558800002,2023-10-23,6059,CASEY'S GENERAL STORE #1793 / IOWA FALLS,1801 WASHINGTON AVE,IOWA FALLS,50126.0,POINT(-93.279911006 42.519360982),,HARDIN,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72297600001,2024-07-18,5502,CASEY'S GENERAL STORE #3566 / PELLA,509 MAIN ST,PELLA,50219.0,POINT(-92.916985998 41.403531018),,MARION,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72298600001,2024-07-18,6296,JET STOP / FAIRFIELD,120 EAST BURLINGTON AVENUE,FAIRFIELD,52556.0,POINT(-91.961521959 41.006371007),,JEFFERSON,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-72232200001,2024-07-16,5343,FROHLICH'S SUPER VALU,403 MAIN ST.,COON RAPIDS,50058.0,POINT(-94.676508994 41.871162007),,CARROLL,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-61216800001,2023-08-14,4658,CASEY'S GENERAL STORE #3027 / IOWA FALLS,904 WASHINGTON AVE,IOWA FALLS,50126.0,POINT(-93.26836703 42.519919007),,HARDIN,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-71250100001,2024-06-16,4359,KUM & GO #75 / WAUKEE,350 SE UNIVERSITY AVENUE,WAUKEE,50263.0,POINT(-93.865616021 41.599712983),,DALLAS,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-70867400001,2024-06-04,10347,THE SPOT SMOKE SHOP / INDEPENDENCE,112 2ND AVE SW BLDG 01,INDEPENDENCE,50644.0,POINT(-91.894997979 42.46814198),,BUCHANAN,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01
