invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-70436800001,2024-05-22,3763,MAIN STREET LIQUORS / HAWARDEN,911 CENTRAL AVE,HAWARDEN,51023.0,POINT(-96.485606002 42.996099998),,SIOUX,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-55676000006,2023-02-08,4872,CASEY'S GENERAL STORE #2644 / EARLHAM,975 N CHESTNUT AVE,EARLHAM,50072,POINT(-94.1234 41.5023),,MADISON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-50768300003,2022-08-30,5687,CASEY'S GENERAL STORE #3756 / CEDAR RAPIDS,4560 16TH AVE SW,CEDAR RAPIDS,52404,POINT(-91.729988 41.96383),,LINN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-60088700001,2023-07-07,5821,CASEY'S GENERAL STORE #3645 / LONE TREE,302 N DEVOE ST,LONE TREE,52755.0,POINT(-91.424939507 41.490127813),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-49128300008,2022-07-12,6002,CASEY'S GENERAL STORE #2597 / SLOAN,104 BUCKLEY ST,SLOAN,51055,POINT(-96.222381 42.229186),97,WOODBURY,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-55667500013,2023-02-08,6019,CASEY'S GENERAL STORE #3888 / ANKENY,1024 E 1ST ST,ANKENY,50021,POINT(-93.58161 41.73239),,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-65399100001,2023-12-18,4911,CASEY'S GENERAL STORE #1061 / PRINCETON,500 HWY 67 N,PRINCETON,52768.0,POINT(-90.34161096 41.678269981),,SCOTT,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-71987800001,2024-07-08,5102,WILKIE LIQUORS,724 1ST STREET NE,MOUNT VERNON,52314.0,POINT(-91.410777025 41.918154015),,LINN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-44602200003,2022-02-10,5743,CASEY'S GENERAL STORE #3327 / FAIRFIELD,2125 LIBERTYVILLE RD,FAIRFIELD,52556.0,POINT(-91.963638 40.988355),51,JEFFERSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-44669000004,2022-02-11,5785,CASEY'S GENERAL STORE #2491 / CLARINDA,1107 S 16TH ST,CLARINDA,51632.0,POINT(-95.03782 40.727464),73,PAGE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
